anime_id,title,type,status,episodes,duration_min,total_hours,start_date,end_date,year,decade,season,score,members_scored,rank,age_rating,main_studio,studio_group,genre_count,primary_genre,score_band,popularity_tier,is_scored
52991,Frieren: Beyond Journey's End,TV,Finished Airing,28,24.0,11.2,2023-09-29,2024-03-22,2023,2020s,Fall,9.3,676737,1,PG-13,Madhouse,Madhouse,3,Adventure,Excellent,Blockbuster (100K+),Scored
5114,Fullmetal Alchemist: Brotherhood,TV,Finished Airing,64,24.0,25.6,2009-04-05,2010-07-04,2009,2000s,Spring,9.1,2223666,2,R,Bones,Bones,4,Action,Excellent,Blockbuster (100K+),Scored
9253,Steins;Gate,TV,Finished Airing,24,24.0,9.6,2011-04-06,2011-09-14,2011,2010s,Spring,9.07,1467570,3,PG-13,White Fox,Others,3,Drama,Excellent,Blockbuster (100K+),Scored
38524,Attack on Titan Season 3 Part 2,TV,Finished Airing,10,23.0,3.83,2019-04-29,2019-07-01,2019,2010s,Spring,9.05,1700946,4,R,Wit Studio,Others,3,Action,Excellent,Blockbuster (100K+),Scored
28977,Gintama Season 4,TV,Finished Airing,51,24.0,20.4,2015-04-08,2016-03-30,2015,2010s,Spring,9.05,264260,5,PG-13,Bandai Namco Pictures,Others,3,Action,Excellent,Blockbuster (100K+),Scored
60022,One Piece Fan Letter,TV Special,Finished Airing,1,24.0,0.4,2024-10-20,,2024,2020s,Fall,9.04,83738,7,PG-13,Toei Animation,Toei Animation,3,Action,Excellent,Popular (10K-100K),Scored
39486,Gintama: The Very Final,Movie,Finished Airing,1,104.0,1.73,2021-01-08,,2021,2020s,Winter,9.04,80788,6,PG-13,Bandai Namco Pictures,Others,4,Action,Excellent,Popular (10K-100K),Scored
11061,Hunter x Hunter,TV,Finished Airing,148,23.0,56.73,2011-10-02,2014-09-24,2011,2010s,Fall,9.03,1883243,8,PG-13,Madhouse,Madhouse,3,Action,Excellent,Blockbuster (100K+),Scored
9969,Gintama Season 2,TV,Finished Airing,51,24.0,20.4,2011-04-04,2012-03-26,2011,2010s,Spring,9.02,249397,9,PG-13,Sunrise,Sunrise,3,Action,Excellent,Blockbuster (100K+),Scored
15417,Gintama: Enchousen,TV,Finished Airing,13,24.0,5.2,2012-10-04,2013-03-28,2012,2010s,Fall,9.02,173888,10,PG-13,Sunrise,Sunrise,3,Action,Excellent,Blockbuster (100K+),Scored
